condition,reaction_id,reaction_name,flux,subsystem,equation
glucose_aerobic,LEUTA,Leucine transaminase,-0.17284598503030932,,akg_c + leu__L_c <=> 4mop_c + glu__L_c
glucose_aerobic,MALS,Malate synthase,0.0412150802626951,,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
glucose_aerobic,MBCOAi,"3-Methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase",0.4223213504095489,,fad_c + ivcoa_c <=> 3mb2coa_c + fadh2_c
glucose_aerobic,MCCC,Methylcrotonoyl-CoA carboxylase,0.42232135040954893,,3mb2coa_c + atp_c + hco3_c --> 3mgcoa_c + adp_c + h_c + pi_c
glucose_aerobic,MDH,Malate dehydrogenase,0.4402389321939412,,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
glucose_aerobic,METAT,Methionine adenosyltransferase,0.00012391878286908094,,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c
glucose_aerobic,METB1,Metb1 (rev),-0.035441155550039766,,achms_c + cys__L_c <=> ac_c + cyst__L_c + h_c
glucose_aerobic,METS,Methionine synthase,0.059085473160632465,,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c
glucose_aerobic,MEVK1,Mevalonate kinase  atp,0.42232135040954893,,atp_c + mev__R_c --> 5pmev_c + adp_c + h_c
glucose_aerobic,MGCH,Methylglutaconyl-CoA hydratase,0.42232135040954893,,3mgcoa_c + h2o_c <=> hmgcoa_c
glucose_aerobic,MGt5,Magnesium transport in/out via permease (no H+),-0.0033281592612671124,,mg2_c <=> mg2_e
glucose_aerobic,MNt2,Manganese transport in via proton symport,0.0002651017924536685,,h_e + mn2_e --> h_c + mn2_c
glucose_aerobic,MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.0002209821019585334,,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c
glucose_aerobic,MTHFC,Methenyltetrahydrofolate cyclohydrolase,0.37909441226034785,,h2o_c + methf_c <=> 10fthf_c + h_c
glucose_aerobic,MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),0.37909441226034785,,mlthf_c + nadp_c <=> methf_c + nadph_c
glucose_aerobic,MTHFR3,5 10 methylenetetrahydrofolatereductase  NADPH,0.059085473160632465,,2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c
glucose_aerobic,NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),14.550117817046129,,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
glucose_aerobic,NADK,NAD kinase,0.0001714913187074174,,atp_c + nad_c --> adp_c + h_c + nadp_c
glucose_aerobic,NADPHQR3,NADPH Quinone Reductase (Menaquinone-8),17.851854020863033,,h_c + mqn8_c + nadph_c --> mql8_c + nadp_c
glucose_aerobic,NADS1,NAD synthase (nh3),0.0008739535212871907,,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c
glucose_aerobic,NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),0.19767386129464548,,atp_c + gdp_c <=> adp_c + gtp_c
glucose_aerobic,NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),0.19360065473820884,,atp_c + udp_c <=> adp_c + utp_c
glucose_aerobic,NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),0.010365058070507615,,atp_c + dgdp_c <=> adp_c + dgtp_c
glucose_aerobic,NH4t,Ammonia reversible transport,4.296226604421869,,nh4_e <=> nh4_c
glucose_aerobic,NNATr,Nicotinate-nucleotide adenylyltransferase,0.0008739535212871907,,atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c
glucose_aerobic,NNDPR,Nicotinate-nucleotide diphosphorylase (carboxylating),0.0008739535212871907,,2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
glucose_aerobic,NPHS,Naphthoate synthase,3.836494825668141e-05,,sbzcoa_c --> coa_c + dhna_c
glucose_aerobic,O2tex,Oxygen transport via diffusion (extracellular to periplasm),20.00000000000071,,o2_e <=> o2_p
glucose_aerobic,O2tpp,O2 transport via diffusion (periplasm),20.00000000000071,,o2_p <=> o2_c
glucose_aerobic,OCBT_2,Ornithine carbamoyltransferase,0.11348044774740307,,cbp_c + orn_c <=> citr__L_c + h_c + pi_c
glucose_aerobic,OCTDPS,Octaprenyl pyrophosphate synthase,3.836494825668141e-05,,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c
glucose_aerobic,OIVD1r,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),0.4223213504095489,,4mop_c + coa_c + nad_c <=> co2_c + ivcoa_c + nadh_c
glucose_aerobic,OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,0.5951673354398582,,3c4mop_c + h_c --> 4mop_c + co2_c
glucose_aerobic,OMPDC,Orotidine-5'-phosphate decarboxylase,0.1269093305856893,,h_c + orot5p_c --> co2_c + ump_c
glucose_aerobic,ORNTA,Ornithine transaminase,-0.11348044774740307,,akg_c + orn_c <=> glu5sa_c + glu__L_c
